Адрес обращения,Дом,Дата,текст обращения,street
улица Комсомольская,22,2021-06-14 12:13:08.815,"Своевременно делать капремонт в домах, контроль за проведением капремонтов ",освещение
улица Пролетарская,5,2021-06-07 21:49:23.020,Обустроить детскую площадку. Асфальтировать дорогу во дворе.,асфальтовая дорожка
улица Пролетарская,5,2021-06-05 22:34:18.284,Обустроить детскую площадку. Асфальтировать дорогу во дворе.,асфальтовая дорожка
улица Кадыкова,11,2021-06-08 20:24:47.403,Сделать дорогу,пандус
улица Винокурова,33,2021-06-06 20:55:27.271,"1. В подъезде воняет, просьба устранить неприятный запах из подвала подъезда 4.
2. Отремонтировать дорогу во дворе дома",пандус
бульвар А.Миттова,27,2021-06-11 09:07:41.893,"Хотелось бы, чтобы рядом с домом был установлен терминал ""Сбербанк""(снять и положить деньги) и ВТБ",лавочка
проспект Тракторостроителей,67,2021-06-10 01:59:16.044,"Снижение цен на потребительские товары и проезд по городу. Льготы на лекарства, медицинское обслуживание",пандус
улица Композитора Максимова,2,2021-06-10 15:00:11.875,"дорги по аллее, вокруг дома",аллея
бульвар Юности,19,2021-06-08 19:25:47.428,"Дорога плохая возле дома, требует ремонта. Освещение по аллее ",освещение
улица 10 Пятилетки,46,2021-06-09 23:29:14.080,"Благоустройство 10-й Пятилетки. Установите дорожный знак ""Остановка запрещена"" на повороте с ул. 10-й Пятилетки к магазину ""Синешубашкар""",аллея
проспект Мира,37,2021-06-08 21:27:38.595,"убрать строительный мусор у д 37 по пр.мира , обгородить двор, построить детскую площадку ",детский городок
улица Космонавта Николаева А.Г.,40 корп. 1,2021-06-07 15:41:24.289,"Детская площадка
Лежачий ""Полицейский"" при въезде",детский городок
улица Воинов интернационалистов,11,2021-06-05 15:08:04.717,Сделать почтовые ящики,лавочка
проезд Энергетиков,12,2021-06-14 16:06:56.103,Ремонт дорог,пандус
улица Ахазова,1,2021-06-06 21:33:37.795,"Отремонтировать крышу, поменять лифт. ",освещение
бульвар Эгерский,6 корп. 1,2021-06-06 22:05:10.788,Ремонт в подъезде,пандус
улица Мичмана Павлова,66,2021-06-15 16:54:59.033,Парковочные места во дворе М.Павлова. в школе 48 обновить срочно входные двери и окна и классы,аллея
бульвар Эгерский,6 корп. 1,2021-06-06 22:11:53.542,Повышении пенсии работающим пенсионерам,пандус
проспект Мира,90,2021-06-09 11:21:43.100,"Прошу вас поменять на этажах окна,на 1 этаже поменять коммунальную трубу.",пандус
улица Строителей,23 корп. 1,2021-06-05 10:49:59.672,Во дворе установить спортивную баскетбольную площадку,спортивная площадка
улица Винокурова,69,2021-06-08 08:54:30.439,"Поменять покрытие детской площадки, благоустроить тротуар с торца дома №69 по ул. Винокурова.",детский городок
бульвар Солнечный,20 корп. 1,2021-06-06 08:18:27.456,"Благоустройство остановок,территории,светафора.",освещение
бульвар А.Миттова,25,2021-06-11 09:23:25.582,Необходимо сделать дополнительную автостоянку около нашего дома по адресу б-р Миттова 25,брусчатка
бульвар А.Миттова,25,2021-06-11 09:28:22.518,"Банкомата ВТБ рядом нету
Хотелось бы чтобы был",пандус
улица Промышленная,10,2021-06-11 02:15:11.694,"Благоустройство детской площадки по ул.Промышленная 10, ремонт кровли",детский городок
бульвар А.Миттова,21,2021-06-11 09:42:45.753,"Покрытие возле подъездов не из доброкачественного материала, нужно поменять - весь мусор заходит в подъезд. Образовалась канава у арки, жкх не обращает на это внимание",брусчатка
проспект Тракторостроителей,54,2021-06-06 15:25:40.658,Желаю творческих успехов.,освещение
улица Эльменя,34,2021-06-04 22:53:51.993,построить школу в Финской долине,пандус
бульвар А.Миттова,2,2021-06-12 05:34:11.862,Нет крупного тц и фск,освещение
улица Нижняя,57,2021-06-06 22:51:47.126,Улучшить вывоз мусора.,пандус
улица Цивильская,7,2021-06-14 00:23:53.954,Сделать тротуар к подходу к садику №73 и тротуар по проспекту Валькевича,пандус
улица Энтузиастов,13,2021-07-06 13:01:12.168,"Детская площадка.
Оплата коммунальных услуг в одной квитанции от ОЗОНА.
",детский городок
улица Энтузиастов,13,2021-06-10 16:27:22.365,"дет площадку, оплату коммун.услуг одной квитанцией",детский городок
улица Кукшумская,9,2021-06-11 20:52:56.704,"Прошу починить  тротуар от Кукшумской до остановки ""ботанический сад"".",зелёные насаждения
улица Эльгера,4,2021-06-09 08:09:39.520,Дорогу пусть сделают нам,брусчатка
улица Энтузиастов,23,2021-06-06 21:50:15.360,"труба дырявая на дет.площадке, обновить Дет.площадку
дорога придомовая рядом с магазинами",детский городок
улица 2-я Бажова,5,2021-06-04 14:34:17.498,Ремонт лестницы к речке Кукшумка,пандус
улица Чернышевского,29 корп. 1,2021-06-11 14:37:30.965,Просьба отремонтировать пешеходную дорогу от Энтузиастов по М.Залка в сторону Финской долины,аллея
улица Ленинского Комсомола,37 корп. 1,2021-06-08 17:29:30.261,Благоустроить детскую площадку,детский городок
улица Молодежная,19,2021-06-07 19:56:54.649,"Ремонт дороги до магазина ""Восход""",пандус
улица Энтузиастов,23,2021-06-06 21:45:25.264,лавочки во дворе,лавочка
улица Лукина,3,2021-06-13 12:35:19.071,Достроить школу. ,пандус
улица Болгарстроя,1,2021-06-05 19:44:47.073,Благоустройство территории возле дома.Уборка мусора.,освещение
улица Чернышевского,23 корп. 1,2021-06-07 23:39:10.807,"Мало школ, банкоматов",пандус
проспект Тракторостроителей,52 корп. 1,2021-06-15 11:29:18.635,Установить камеры на дом.,освещение
улица Ашмарина,34А,2021-06-05 21:50:27.660,Нужны фонари и тротуар.,освещение
проспект Московский,19 корп. 7,2021-06-09 12:27:59.031, ,велосипедная дорожка/велодорожка
улица Советская,75,2021-06-08 22:14:43.711,Пустой,место тихого отдыха
проспект Тракторостроителей,83,2021-06-09 23:50:53.244,-,освещение
проспект Тракторостроителей,83,2021-06-09 23:56:17.260,-,освещение
бульвар Юго-Западный,10,2021-06-07 12:37:43.927,"Парковочные места для машин, велодорожки для детей",велосипедная дорожка/велодорожка
улица Университетская,28,2021-06-09 12:45:55.107,"1. СМИ регулярно объективно информировать население города, республики о состоянии заболевания ковидом. ",освещение
улица Чернышевского,36,2021-06-08 11:44:27.754,"Расширить стоянку для личных а/м жителей по ул.Чернышевского,д.36",танцплощадка
улица Гагарина Ю.,41,2021-06-14 18:05:17.161,Нужна детская площадка,детский городок
улица П.В.Дементьева,3 корп. 2,2021-06-08 22:26:10.387,"дорогу за домом отремонтировать, добавить МАФ",освещение
улица Эльменя,34,2021-06-04 22:55:20.135,построить школу в Финской долине,пандус
улица Винокурова,61,2021-06-08 19:09:33.461,"Во дворе не закончен газон. На детской площадке нет дорожки. Со стороны ""Нарспи"" тротуарная дорожка до роддома.",зелёные насаждения
улица Александра Фадеева,33,2021-06-05 16:57:40.433,Убрать мусорные баки.Заасфальтировать дорогу.,освещение
улица Эльгера,28,2021-06-08 22:30:28.528,Установить во дворе дома игровую спортивную детскую площадку,спортивная площадка
улица Ахазова,3,2021-06-12 17:45:26.164,"Парковочные места, детская площадка ( улучшить). ",детский городок
улица Комсомольская,10,2021-06-14 19:02:15.806,Менять окна в подъездах,общественный туалет
улица Николая Рождественского,6,2021-06-07 22:48:49.145,Хотим банкомат Сбербанка в Пятерочку.,пандус
улица Пржевальского,4,2021-06-06 19:37:14.836,Проложить тротуар от дома номер 4 до остановки Обиково. Капитальный ремонт.,пандус
проспект Тракторостроителей,23,2021-06-05 21:07:05.365,Построить детскую площадку возле дома.,детский городок
улица Чапаева,4,2021-06-08 21:44:03.561,"Установить скамейки во всех подьездах, поменять забор, расширить парковку, установить тренажерный зал.",спортивная площадка
улица Советская,59,2021-06-08 21:55:34.202,Требуется капитальный ремонт подъездов в доме №59 по ул. Советская,аллея
улица Альгешевская,25 корп. А,2021-06-10 11:59:20.137,Обустроить Обиковскую рощу.,зелёные насаждения
улица Мичмана Павлова,24,2021-06-09 08:26:52.193,Ремонт подъездной дороги. С 1 по 3 подъезды в ужасном состоянии,пандус
проспект Мира,88Б,2021-06-11 18:34:26.849,"Ремонт крыши МБОУ СОШ№57,замена окон в СОШ№57,экран вдоль жд путей.",освещение
улица Афанасьева,3,2021-06-05 13:16:01.642,Сделать ремонт дома по адресу ул. Афанасьева 3.,аллея
бульвар Солнечный,14,2021-06-06 09:16:59.412,Построить футбольную и баскетбольную площадки рядом с садиком номер 210.Построить школу.,спортивная площадка
улица Космонавта Николаева А.Г.,46 корп. 1,2021-06-07 13:22:56.272,"Детская площадка
Асфальтированная дорога
",детский городок
улица Шумилова,11,2021-06-11 23:30:41.183,"Нужна спортивная площадка (волейбольна, баскетбольная) вместо хоккейной",спортивная площадка
улица Ашмарина,52 корп. 1,2021-06-05 16:40:25.667,Обновить детскую площадку.Поставить скамейки.Сделать уличное освещение.,освещение
улица Магницкого,2 корп. 1,2021-06-05 23:14:08.283,Отремонтировать дорогу. Сделать освещение.,освещение
бульвар А.Миттова,10 корп. 1,2021-06-11 11:36:46.866,"Очень плохая дорога между ЧП и Яуши, отремонтируйте пожалуйста, невозможно по ней ездить",навигация
улица Терешковой,12,2021-06-10 12:52:27.540,"МАФ, капитальный ремонт безобразно выполнен при ремонте дорог сломано крыльцо. Обещали сделать крыло, не выполнено. Примите меры.",аллея
улица Университетская,27,2021-06-14 18:16:23.741,Прошу сделать подъездные лужи для скорой и пожарной машины,общественный туалет
улица Университетская,27,2021-06-14 17:52:02.936,"Прошу благоустроить территорию по парковке по Университетской д. 27 тротуар , парковка",парк
улица Винокурова,71,2021-06-08 21:08:55.159,Нет места для выгула собак. Нет новых бордюров. Не отремонтированы дороги со стороны Винокурова 89 ,место тихого отдыха
улица Винокурова,71,2021-06-08 21:11:35.609,Песок привезти на детскую площадку. Очень мало качелей на детской площадке. Добавить спортивные тренажеры,спортивная площадка
проспект Тракторостроителей,56,2021-06-06 19:15:21.941,Доделать тротуар.,пандус
улица Богдана Хмельницкого,10 корп. 1,2021-06-17 13:46:31.104,"Снести ветхое здание по ул. Б. Хмельницкого 14. Благоустроить парк ""Чебоксарка""",парк
улица 1-ая Путепроводная,122,2021-06-09 01:51:07.008,"Провести газ, сделать дорогу и освещение, узаконить регистрацию",освещение
улица Гагарина Ю.,30,2021-06-08 12:29:09.371,Детская площадка,детский городок
бульвар А.Миттова,27,2021-06-11 09:20:58.326,На б-ре Миттова 27 стоит недостроенное здание. Жители ближайших домов были изначально против этого строительства. Прошу разобраться с этим вопросом,аллея
бульвар А.Миттова,27,2021-06-11 09:17:36.700,"На районе не имеется ни одного ФОК. Район не маленький. Приходится с детьми и даже самим посещать оздоровительные комплексы в других районах.
Очень хотелось бы и в нашем районе его иметь",спортивная площадка
улица Хевешская,15,2021-06-14 20:07:34.529,требуется ремонт на третьем,пандус
проспект Тракторостроителей,43,2021-06-12 06:04:53.073,"Ремонт крыльца, детскую площадку, отопление",детский городок
улица П.В.Дементьева,3 корп. 1,2021-06-08 22:39:44.384,"парковку бы, дет.площадку, школу, парк",парк
улица Чапаева,24,2021-06-14 09:02:44.289,Нужен ремонт в подьезде. Окна в подьезде в страшном состоянии.,пандус
проспект Мира,22,2021-06-04 21:23:40.365,Детская площадка,детский городок
проспект Мира,22,2021-06-04 21:22:40.143,"Благоустройство двора
Детская площадка
Освещение улиц",детский городок
улица Кукшумская,7,2021-06-11 20:30:05.566,нет дворового освещения. Благоустройство территории дома.,освещение
улица Гагарина Ю.,30,2021-06-08 12:43:14.397,"Детская площадка
Ремонт тротуара",детский городок
проспект Тракторостроителей,67,2021-06-10 01:34:42.122,"Снижение цен, повышение зарплат педагогам и воспитателям",освещение
улица Строителей,10,2021-06-09 20:45:18.164,прием педиаторов на гладкова,освещение
улица Афанасьева,9,2021-06-05 00:10:42.332,"По адресу ул. Афанасьева 9 не убирают подъезд, окна в подъезде не сделаны, кап.ремонт не делают. Нужно рассмотреть теплоснабжение по дому (высокая кварплата).",аллея
улица Солнечная,7,2021-06-12 09:26:12.202,"Во дворе поставить лампочки, поменять фонари, возле 2 подъезда поставить решетки дл чистки обуви от грязи",лавочка
улица Эльгера,8,2021-06-06 15:30:40.916,Сделать тротуар около офиса врачей общей практики. ,асфальтовая дорожка
улица Чернышевского,27,2021-06-08 09:30:26.542,Дороги по гражданской улице,пандус
улица Чернышевского,27,2021-06-08 10:17:47.162,"парк, банкомат",парк
улица Солнечная,32,2021-06-05 15:32:01.540,Снизить пенсионный возраст,пандус
улица Короленко,22,2021-06-06 00:02:32.885,облагородить зеленый участок около дома ,зелёные насаждения
улица Короленко,22,2021-06-05 23:57:16.757,"дорогу вдоль гаражей
дет.поликлинику
каток",детский городок
бульвар Зеленый,2А,2021-06-06 11:48:23.265,"Просим сделать: 1) шлагбаум; 2) на детской площадке сделать покрытие; 3) 2 подъезд отремонтировать лифт, постоянно ломается; 4) возле дома сделать дорогу, одни ямы, асфальт надо менять.",детский городок
улица Чернышевского,14,2021-06-07 10:03:39.649,"Детская площадка, парковка",детский городок
улица Терешковой,10,2021-06-10 12:42:08.504,Капремонт,пандус
улица Энгельса,44,2021-06-07 19:59:11.543,"1. копитальный ремонт дома
2. благоустроитва детских площадок 
3. ремонт подьездов ",детский городок
проспект Тракторостроителей,35/19,2021-06-12 08:37:42.871,"Парковка, детская площадка",детский городок
улица Чернышевского,36,2021-06-08 11:57:01.636,"Сделать доп.пешеходный переход по ул.Чернышевского,д.40",пандус
улица Привосточная,1/3,2021-06-09 01:19:57.386,-,освещение
улица Родниковая,67,2021-06-06 14:38:51.554,Просим вас оказать содействие с оформлением земельных участков под своими жилыми домами и придомовой территории.,аллея
улица Северная,9,2021-06-11 01:42:23.569,Хотя бы для начала сделать дороги по улице или залатать все кочки и выбоены,брусчатка
улица Чернышевского,34,2021-06-08 12:12:26.689,"Обустроить площадку детскую по ул.Чернышевского,д.34, 32,28
Пустить транспорт и связать Финскую долину и Чапаевский поселок",детский городок
улица 2-я Привосточная,86,2021-06-09 00:34:26.425,-,освещение
улица Гагарина Ю.,30,2021-06-08 13:19:29.330,"Детская площадка
Ремонт тротуара",детский городок
проспект Тракторостроителей,35/19,2021-06-12 07:48:42.950,"Сделать нормальную детскую площадку, расширить парковку",детский городок
бульвар Речной,4 корп. 2,2021-06-12 21:59:27.857,Облагородить набережную,пандус
улица Терешковой,12,2021-06-10 12:58:46.548,-,освещение
"переулок Чандрово, Фермский", 9А,2021-06-09 23:23:43.654,"Дороги по Фермской, интернет,детские площадки",детский городок
бульвар Юности,5,2021-06-12 18:17:17.815,"Отремонтировать дорогу между домами б-р. Юности 5 и б-р. Юности 3, выровнять, так как полностью стоит вода ( болото)  ",освещение
улица Димитрова,18,2021-06-09 02:57:41.254,"Заменить канализационные стояки
Покрасить стены в подъезде",освещение
