id,Тематика обращения,Дата создания,Категория,Муниципалитет ,Текст обращения
3374,"Грязь, снятый асфальт, нет возможности из за грязи подойти к пешеходному переходу",2021-09-25 08:14:49,Благоустройство и инфраструктура,Администрация города Чебоксары Чувашской Республики,"Добрый день!Все мы знаем о дорожных работах проводимых по ул.Гражданской. На сегодняшний день есть проблема с переходом по пешеходному переходу перекросток ул.Гражданская и ул.Чернышевского, а именно к нему невозможно подойти из-за грязи, снятого асфальта и не организованных временных дорожек. Дети идущие в школу, взрослые идущие на работу, пожилые люди,
 проваливаются в эту грязь, подскальзываются, обойти этот участок нет возможности, т.к. перерыто везде и там такая же ситуация. Прошу помощи в решении данной проблемы."
3373,Не восстановлен тротуар после проведения земляных работ.,2021-09-24 14:04:32,Благоустройство и инфраструктура,Администрация города Чебоксары Чувашской Республики,"Добрый день, В апреле 2019 я обращался к вам с вопросом по восстановлению разрушенного тротуара на пересечении улиц Новогородская и Прокопьева (около дома Новогородская 19). В ответе вы сообщили о обязательстве ООО ""Стройиндустрия"" (производитель работ) по восстановлению тротуара. На данный момент тротуар не восстановлен. Прошу поспособствовать в восстановлении тротуара. Фото вашего ответа и фотографии места приложил к обращению.

"
3372,Может случиться беда,2021-09-24 14:02:41,Благоустройство и инфраструктура,Администрация города Чебоксары Чувашской Республики,"Между гаражными комплексами ""Стрелка"" и ""Ярмарочный-1"" , расположенными по адресу: г. Чебоксары, ул. Гагарина, 31А  и  ул. Ярмарочная, 5А  имеется подпорная стена по рельефному перепаду грунта высотой 3-4 метра. Данное сооружение находится в плачевном состоянии, очень сильно наклонилось, вот-вот может обрушится. Часть стены уже обрушилась. Здесь постоянно играют дети, ходят пешеходы. Если ничего не предпринять, может случиться трагедия, могут погибнуть люди.  "
3371,Пешеходный переход на пересечении ул.Эльменя и Мате Залка,2021-09-24 13:18:00,Дороги,Администрация города Чебоксары Чувашской Республики,На переснчении улиц Мате Залка и Эльменя г. Чебоксары отсутствует пешеходный переход. Прошу обустроить комбинированный пешеходный переход с искусственной нпровностью дороги с целью снизить скорость автотранспорта в месте интенсивного пересечения дороги пешеходами
3358,"Свалка производственных отходов и техники на тротуарах и газонах, разрушены тротуары",2021-09-23 10:20:59,Благоустройство и инфраструктура,Администрация города Чебоксары Чувашской Республики,"При реконструкции пр. И. Яковлева, АО ""Дорисс"" устроило свалку производственных отходов и стоянку дорожной техники прямо на тротуарах и газонах возле АЗС Татнефть И. Яковлева, 11, тем самым разрушив тротуары ведущие на ул. Пристанционная. Сплошные ямы, лужи и грязь, людям не возможно спокойно пройти, приходится лавировать между тракторами и камазами. "
3368,"Ужасный асфальт на территории детского сади 143, дети спотыкаются!!!",2021-09-22 15:37:41,Благоустройство и инфраструктура,Администрация города Чебоксары Чувашской Республики,"Уже не первый год мой ребенок посещает детский сад № 143, находящийся на улице Пирогова д. 20А, за это время ни разу не было ремонта дорожного покрытия на территории сада -оно просто в ужасном состоянии!!!! одни ямы и перепады высоты в асфальтном покрытии! Дети постоянно спотыкаются и подают! Примите пожалуйста меры!"
3367,"Ремонт не сделан, а обещали!",2021-09-20 23:15:48,Благоустройство и инфраструктура,Администрация города Чебоксары Чувашской Республики,В последний раз требуем разбирательства по стройтресту по проведению ремонтных гарантийных работ. Это уже второе обращение! Дальше – прокуратура!
3366,Горит полигон ТБО,2021-09-17 20:29:44,Экология,Министерство природных ресурсов и экологии Чувашской Республики,Горит полигон ТБО Цивильском районе около Конар снимки от 16.10.2021 г. 
3365,Отсутствие отопления ,2021-09-16 19:43:09,Жилищно-коммунальные услуги,Государственная жилищная инспекция Чувашской Республики,"Отопительный сезон в городе Чебоксары начался 15.09.2021 года. 
В настоящее время тепло в мою квартиру не поступило. Со слов диспетчера УК отопление отсутствует по причине того, что УК не успела установить теплосчетчики. 
Все услуги по поверке и установке счетчика оплачены. 
В связи с низкой погодной температурой в квартире очень холодно, в связи с чем заболели: моя 4 летняя дочь и жена. 
Прошу принять меры в отношении УК. 
Проживаю по адресу: 
г. Чебоксары, ул. Филиппа Лукина, д.3, кв. 275
"
3364,Жилье для многодетных,2021-09-16 18:20:42,Социальная сфера,Администрация города Чебоксары Чувашской Республики,"Доброго времени суток. Мы   многодетная семья, у нас 5детей. Нуждаемся в жилье, стоим в очереди на жильё в Калининском районе. С 2015года. Очередь движется очень медленно. Дети вырастают и разъезжаются. Что можно сделать чтобы очередь шла быстрее? "
3363,Нет тепла в квартире.,2021-09-16 16:00:12,Жилищно-коммунальные услуги,Государственная жилищная инспекция Чувашской Республики,"Отопительный сезон в городе Чебоксары начался с 15.09.2021 года. В нашем доме стоит своя котельная. Летом 2021 года проводилась коллективная работа по поверке счётчиков тепла. Работы по снятию установки счетчиков мы оплачивали в УК «ПЛАТИНА», а поверку самих счетчиков по пришедшем квитанциям в июле-августе. Сегодня позвонив в управляющую компанию почему в нашей квартире нет тепла, мне ответили что счетчики ещё обратно не установили. Почему мы должны сидеть и мерзнуть, дети болеть, а управляющая компания в свою очередь не справляться со своими прямыми обязанностями?! Квартира 46, улица Филиппа Лукина д.3"
3362,Отопление,2021-09-16 11:11:46,Жилищно-коммунальные услуги,Государственная жилищная инспекция Чувашской Республики,"По официальной информации управления ЖКХ г. Чебоксары 15 сентября текущего года стартовал отопительный сезон в г. Чебоксары. Я живу в г. Чебоксары по адресу: ул. Ф.Лукина 3-362. До настоящего момента тепло в мою квартиру не подано. Со слов диспетчера УК ""Платина"" тепло поступит в квартиры после смены тепловых счётчиков. Я за поверку счётчика на свою квартиру заплатил, однако качественных услуг со стороны УК ""Платина"", связанных с отоплением, не получил. С подобной проблемой столкнулись также многие жители квартир по Лукина 3."
3361,Уборка территории от мусора и пищевых отходов,2021-09-14 12:48:23,Благоустройство и инфраструктура,Администрация города Чебоксары Чувашской Республики,"Прошу, как можно быстрее убрать мусор, благоустроить территорию между жилыми домами по ул. Ашмарина и жилыми домами № 6, 8 по ул. Сапожникова г. Чебоксары, вырубить часть деревьев и кустарников, чтобы не было соблазна у алкоголиков распивать в кустах, наладить уборку данной территории от мусора, наладить ежедневный вывоз мусора и пищевых отходов из мусорных контейнеров, поскольку мусор и отходы лежат по несколько дней, разлагаются, от них исходит зловонный запах, все это приводит к антисанитарной обстановке, организовать патрулирование полиции для привлечения к ответственности лиц, распивающих спиртные напитки в общественном месте и обеспечения безопасности нас и наших детей."
3360,Светофоры на Энтузиастов ,2021-09-13 20:26:16,Дороги,Администрация города Чебоксары Чувашской Республики,"Светофоры на Энтузиастов у детской больницы и школы номер 18 необходимо перенастроить. Нужна пауза хотя бы в минуту между допустимыми нажатиями кнопки. Сейчас каждое утро зелёный для машин горит максимум секунд 15, потом очередные 2-3 человека включают на 25-30 секунд пешеходный зелёный. В итоге по утрам улица Энтузиастов превращается в одну большую пробку. Вкупе с ремонтируемой Гражданской это кошмар для юго-западного района."
3359,"Ямы во дворах по улице энтузиастов 12,14,16",2021-09-13 11:05:47,Дороги,Администрация города Чебоксары Чувашской Республики,"Добрый день. Ранее , 28.03.21 , писала обращение по поводу ям во дворах домов 12,14,16 по улице Энтузиастов. Ответ был ""ремонт будет рассмотрен при наступлении благоприятных условий"" 
Прошло полгода проблема так и осталась не решена ... когда будет сделана дорога ? Пройти с коляской так и остаётся испытанием"
3357,"Работа транспорта по маршруту 12, 65",2021-09-09 10:16:33,Благоустройство и инфраструктура,Администрация города Чебоксары Чувашской Республики,Интервалы между движением автобусов по маршруту 12 составляют больше часа в 19-00. Прошу наладить работу общественного транспорта по маршруту 12. Автобусы по маршруту 65 в ужасном техническом состоянии. Когда планируется замена подвижного состава?
3356,Проблема с крышей по проспекту Ленина,2021-09-09 10:14:22,Жилищно-коммунальные услуги,Администрация города Чебоксары Чувашской Республики,"Добрый день. По адресу проспект Ленина 27 был капремонт кровли, который не доделали. Не был установлен водосточный жёлоб, из-за этого вся воды с крыши стекает по стене и затекает в квартиру. "
3355,Отсутстствие троллейбуса в час пик,2021-09-08 08:21:33,Благоустройство и инфраструктура,Администрация города Чебоксары Чувашской Республики,Почему такой большой временной промежуток стал между рейсами троллейбусов по 9му маршруту? С 6 сентября с 07.30 до 07.55 нет ни одного троллейбуса и после реформы больше не на чем уехать с остановки газопровод по направлению пр.Мира. Прошу наладить работу общественного транспорта.
3351,НЕУЖЕЛИ НЕЛЬЗЯ НАЛАДИТЬ ГОРОДСКОЙ ТРАНСПОРТ,2021-09-07 07:51:01,Благоустройство и инфраструктура,Администрация города Чебоксары Чувашской Республики,"ВРЕМЯ 21.10. С НОВОЮЖКИ В СЗР НЕ УЕХАТЬ! ВСЕ МАРШРУТКИ И АВТОБУСЫ ПРОЕЗЖАЮТ МИМО ЮЕЗ СВЕТА!!!! ПОЧЕМУ НЕ СОБЛЮДАЕТСЯ ГРАФИК? 
ТРОЛЕЙБУСА В СЗР ЗА ПОЛЧАСА ЕЩЁ НЕ БЫЛО! "
3354,Заросли кустарника на тротуаре.,2021-09-06 12:30:44,Благоустройство и инфраструктура,Администрация города Чебоксары Чувашской Республики,"Просим очистить тротуар, который проходит рядом с домом №8 по ул. Университетская напротив  Сквера имени Петрикова. По этому тротуару каждый день  водят детей в детский сад №174 по ул. Лебедева, д.5. а  кустарник который растет вдоль тротуара разросся и  скоро закроет весь тротуар."
3353,Сломаны спортивные тренажёры на пришкольной спортивной площадке,2021-09-06 12:10:51,Благоустройство и инфраструктура,Администрация города Чебоксары Чувашской Республики,На пришкольной спортивной площадке рядом с СОШ 39 и Гимназией 1 сломаны спортивные тренажёры. Данные поломки могут привести к тяжёлым травмам детей
3352,Отсутвие освещения,2021-09-03 20:04:51,Благоустройство и инфраструктура,Администрация Комсомольского района Чувашской Республики Чувашской Республики," В Деревне Альбус Сюрбеево Комсомольского района улица Северная нет уличного освещения. Писал 2 раза. Под номером 3326 и 3340.Оба раза писали что устранили. Как не было уличного освещения так и нет. Администрация Комсомольского района занимается только отпиской. Фото отчёт не предоставляют об устранении проблемы. Востоновить не могут  освещение. 

"
3350,Автомобили на газоне,2021-08-31 23:05:37,Благоустройство и инфраструктура,Администрация города Чебоксары Чувашской Республики,По вечерам газон в моём дворе превращается в парковку для автомобилей.
3349,Проблема с проводкой в доме,2021-08-30 13:55:42,Жилищно-коммунальные услуги,Государственная жилищная инспекция Чувашской Республики,"Дом построен в 1962 году. Ни разу не было произведено кап ремонта проводки. В квартирах плавятся розетки,выбивает пробки. Неоднократно было возгарание в подьездах. В доме деревенные перекрытия и перегородки,это несет еще большую опасность для жильцов дома. В доме проживают 4 ребенка инвалида и пенсионеры."
3348,Автомобиль на газоне,2021-08-29 20:25:45,Благоустройство и инфраструктура,Администрация города Чебоксары Чувашской Республики,"Данный автомобиль уже неделю стоит на зелёном газоне (Гражданская66,напротив 5 подьезда).Звонили и в ГИБДД,и в полицию...толку нет"
3347,тротуар,2021-08-27 08:35:30,Дороги,Администрация города Чебоксары Чувашской Республики,"тротуар по пути к 4 -й и 2-й гимназии в ужасном состоянии. как детям добираться в гимназию. в дождливую погоду дети будут вынуждены выходить на проезжую часть. кто отвечает за этот участок  ? почему по  всему городу меняют тротуары, бордюры, хотя некоторые их них в хорошем состоянии. неужели было сложно  обновить тротуары, дороги на территориях вблизи школ"
3346,Есть вопросы к решению вопросов,2021-08-26 23:45:01,Благоустройство и инфраструктура,Администрация города Чебоксары Чувашской Республики,"Написал несколько сообщений по вопросам благоустройства территорий.Да, их решили в срок.Но удивляет поверхностный подход к устранению проблем и  отписки чиновников.Убрали нависшее над тротуаром дерево,но порубочный  материал остался на месте...Скосили высокую траву и оставили прямо на пешеходной дорожке....В остановочном павильоне поставили скамейку ... из соседнего  парка.Теперь гуляющим в зоне отдыха оставили на одну лавочку меньше...Хотя на остановке нужно было восстановить скамейки по всему периметру павильона.."
3345,Перекрытая парковка,2021-08-26 22:10:50,Дороги,Администрация города Чебоксары Чувашской Республики,"У кафе «звездное» по ул. 324 стрелковой дивизии есть парковка, которая абсолютно всегда перекрыта цепочкой. При этом асфальтовое покрытие на этой парковке заменено одновременно с ремонтом улицы 324 стрелковой дивизии по нацпроекту БКАД. Спрашивается:
- если земельный участок под этой парковкой находится в республиканской или муниципальной собственности (если ремонт сделан действительно в рамках нацпроекта за бюджетные деньги), на каком основании перекрыт заезд на парковку всегда??
-если земельный участок в частной собственности и въезд перекрыт именно поэтому, на каком основании произведён ремонт участка за бюджетные деньги?
Вопрос принципиальный, потому что парковки сбоку ТЦ «Звёздный» ниже перед светофором на перекрёстке с ул. Ленинского Комсомола катастрофически не хватает - она мала"
3344,Преднамеренное отключение электрической энергии,2021-08-25 18:54:11,Жилищно-коммунальные услуги,Государственная жилищная инспекция Чувашской Республики,"25 августа 2021 года, я Мидукова Евгения Вячеславовна, жена собственника квартиры, Мидукова Ильи Юрьевича, вернулась домой с работы с сыном (2 года) из детского сада, и обнаружила отсутствие электроэнергии. В то время, когда свет у остальных соседей был. Добрые соседи подсказали номер телефона электрика, который сегодня приходил и ""ковырял в щитке"". Отзывчивый электрик Александр (выражаю ему глубокую благодарность) объяснил ситуацию. Мол, у вас имеется задолженность в 4 тыс рублей по оплате ЖКХ и по указанию УК ""Жил стандарт"" произвёл отключение электроэнергии. Спасибо, Александру, что он согласился за оплату произвести подключение. Пока ждала электрика, пыталась дозвониться до УК ""Жил стандарт"" по всем указанным в интернете телефонам и разобраться в ситуации. Дело в том, что УК даже не удосужилось в письменном виде уведомить нас об отключении. Даже не могу представить, чтобы случилось с морозилкой, если бы мы не вернулись домой, а если бы мы вообще уехали из города надолго?  Прилагаю квитанцию об оплате услуги за подключение электроэнергии.
Адрес дома Тракторостроителей 30, кв 64."
3341,Ремонт пешеходных дорог вокруг 53 школы ,2021-08-22 10:48:31,Дороги,Администрация города Чебоксары Чувашской Республики,"Здравствуйте. 
Прошу принять мое обращение. 

Я Ольга Мигашко, живу в доме по Ленинского комсомола 88/87.

Прошу:

1) отремонтировать асфальт вокруг 53 школы (бывшая 52): прилагаю видео состояния этого асфальта. Асфальт не ремонтировался с момента постройки школы (1990 год). В период дождей дорога непроходима прямо перед входом в школу. Очень жаль детей, которые должны идти по этой грязи. 

2) асфальт по пешеходной улице вдоль 53 школы (бывшей 52) , асфальт по этой аллее так же никогда не ремонтировался. В период заморозков лёд полностью покрывает участки этой дороги, единственной, нет никаких обходов. Проходить опасно переломами. 

Спасибо!
С уважением, Ольга. "
3340,Отсутвие освещения. ,2021-08-21 20:52:03,Благоустройство и инфраструктура,Администрация Комсомольского района Чувашской Республики Чувашской Республики,Подавал заявку  отсутвие освещение. В деревне Альбус Сюрбеево Комсомольского района ул Северная 4 отсутвует уличное освещение. 20.08. 21 года прислали ответ что устранили. Как небыло освещения так и нет. Администрация Комсомольского района занимается только отпиской. Фото отчёт не предоставляют о проделанной работе. 
3339,Сократили общедомовую площадь а в кватинции изменений нет❗ ,2021-08-18 14:25:10,Жилищно-коммунальные услуги,Администрация города Чебоксары Чувашской Республики,"По адресу город Чебоксары ул. Парижской Коммуны дом №2 При установке кладовок Сократили общедомовую площадь, а в кватинции изменений нет❗ Уже год прошёл с момента подачи иска администрацией, а считают так же не правильно, будут ли делать перерасчёт общедомовой площади.
После ответа направлю все ответы в Прокуратуру. Может там точно скажут почему нас обсчитывают в ПЛАТЕЖНОМ ДОКУМЕНТЕ. "
3338,Трещина по несущей стене многоквартирного дома ,2021-08-18 09:05:53,Жилищно-коммунальные услуги,Государственная жилищная инспекция Чувашской Республики,"Добрый день, Уважаемый народный контроль! Обращаюсь к вам по причине бездействия УК ""Гарант"", которая обслуживает наш дом. 27 июня, ими получено письмо, с описанием проблемы. До сегодняшнего дня, никакого ответа на это письмо не получила.
Трещина на балконе, и видимо трещина на стене в комнате. На месте трещины в комнате на оштукатуренных стенах появилась плесень, которой раньше не было. Хотелось бы, чтобы УК ""Гарант"" заделали трещину с внешней стороны, укрепили швы. Также есть проблемы в подвале дома. Одна стена там и вовсе скоро рухнет и в скорее и сам дом. "
3337,Дорожные ямы и выбоины ,2021-08-17 12:28:04,Дороги,Администрация города Чебоксары Чувашской Республики,"За домом 42/1  по Эгерскому бульвару дорога уже продолжительное время в выбоинах и дорожных ямах глубиной более 10см , размыто укрепление вокруг люка, просим провести ямочный ремонт"
3336,Претензия от 16.08.21,2021-08-16 22:28:01,Жилищно-коммунальные услуги,Государственная жилищная инспекция Чувашской Республики,"Претензия от 16.08.21
к ТСЖ Надежда(Кооперативная).
В 3 подъезде на  некоторых почтовых ящиках требуется заменить замки, потому что сломаны, и выдать ключи собственникам помещений 41,46, 49,50,55, 56, 58,60.
Прошу дать информацию по решению данной претензии.
"
3335,Нужен ремонт тротуара у Республиканской больницы,2021-08-16 22:04:39,Дороги,Администрация города Чебоксары Чувашской Республики,"Жалоба от 16.08.21
  Около Республиканской больницы требуется ремонт тротуара, так как множество участков асфальтового покрытия разрушено.
Прошу дать информацию по решению данной проблемы."
3334,Вырубка сгоревших врезультате пожара  деревьев  по адресу ул. полководца Суворова 28 и ул. Б. Хмельницкого г. Чебоксары,2021-08-16 08:57:31,Благоустройство и инфраструктура,Администрация города Чебоксары Чувашской Республики,"13 августа 2021 года в результате пожара выгорели деревья рядом с домом №28 по улице полководца Суворова г. Чебоксары,которые сейчас представляют угрозу по возможному падению на земельный участок вышеуказанного дома , а также на пешеходный тротуар , по которому дети ходят в школу и детский сад . С целью недопущения вреда здоровью жителей города , просим организовать вырубку деревьев, обгоревших в результате случившегося пожара.  Кроме того, рядом с выездом с домов №№28,28А, 30,30А по ул. полководца Суворова на проезжую часть  имеется заросшее дерево  , которое затрудняет обзор при выезде, тем самым создается аварийная ситуация. Необходимо провести вырубку нижних ветвей данного дерева . "
3333,Отсутствие дороги,2021-08-14 21:39:22,Благоустройство и инфраструктура,Администрация Комсомольского района Чувашской Республики Чувашской Республики,"В деревне Альбус-Сюрбеево Комсомольского района улица Северная. Отсутствует дорога, после дождей ни заехать ни пройти невозможно. Экстренные службы заехать не могут. На  одной улице только дороги нет. "
3332,Нужно повернуть вывеску,2021-08-14 20:41:32,Дороги,Администрация города Чебоксары Чувашской Республики,"30.06.2021 я обратился с заявлением о необходимости повернуть на 180 градусов вывески с указанием направления движения к автосалону  Lada ""Авторегион"", пр. И.Яковлева и Канашскому шоссе, расположенной непосредственно перед ""кольцом"" автодороги на пересечении пор. И. Яковлева и по. 9 Пятилетки в Чебоксарах. В начале июля эта вывеска повернута и установлена правильно. Однако сейчас эта вывеска почему-то (может быть, в результате действия сильных 
ветров) вновь расположена тыльной стороной к водителям движущихся автомашин и пешеходам. Пожалуйста, поручите исполнителям покрепче закрепить вывеску."
