street,house
"50 лет Октября, ул.",3
"50 лет Октября, ул.",4
"50 лет Октября, ул.",6
"50 лет Октября, ул.",6стрА
"50 лет Октября, ул.",7
"50 лет Октября, ул.",8
"50 лет Октября, ул.",8А
"50 лет Октября, ул.",9
"50 лет Октября, ул.",10
"50 лет Октября, ул.",10стрА
"50 лет Октября, ул.",10стрВ
"50 лет Октября, ул.",11
"50 лет Октября, ул.",12
"50 лет Октября, ул.",13
"50 лет Октября, ул.",13к1
"50 лет Октября, ул.",14
"50 лет Октября, ул.",15
"50 лет Октября, ул.",15к1
"50 лет Октября, ул.",16
"50 лет Октября, ул.",17
"50 лет Октября, ул.",17А
"50 лет Октября, ул.",18/45
"50 лет Октября, ул.",19
"50 лет Октября, ул.",20стрА
"50 лет Октября, ул.",21
"50 лет Октября, ул.",22
"50 лет Октября, ул.",23
"50 лет Октября, ул.",24
"50 лет Октября, ул.",24А
"50 лет Октября, ул.",24к1
"500-летия Чебоксар, ул.",1
"500-летия Чебоксар, ул.",14к1
"500-летия Чебоксар, ул.",16
"8 Марта, ул.",1
"8 Марта, ул.",2
"8 Марта, ул.",3
"8 Марта, ул.",4
"8 Марта, ул.",5
"8 Марта, ул.",6
"8 Марта, ул.",8
"8 Марта, ул.",9
"8 Марта, ул.",10
"8 Марта, ул.",11
"8 Марта, ул.",12
"8 Марта, ул.",14
"8 Марта, ул.",16
"8 Марта, ул.",18
"8 Марта, ул.",20
"9-й Пятилетки, пр-т",1
"9-й Пятилетки, пр-т",2
"9-й Пятилетки, пр-т",2к1
"9-й Пятилетки, пр-т",2к2
"9-й Пятилетки, пр-т",2к3
"9-й Пятилетки, пр-т",2стрА
"9-й Пятилетки, пр-т",3
"9-й Пятилетки, пр-т",3к1
"9-й Пятилетки, пр-т",3стрА
"9-й Пятилетки, пр-т",4
"9-й Пятилетки, пр-т",4стрА
"9-й Пятилетки, пр-т",4стрБ
"9-й Пятилетки, пр-т",5/12
"9-й Пятилетки, пр-т",5Б
"9-й Пятилетки, пр-т",5к1
"9-й Пятилетки, пр-т",5стрА
"9-й Пятилетки, пр-т",6
"9-й Пятилетки, пр-т",6стрА
"9-й Пятилетки, пр-т",7/13
"9-й Пятилетки, пр-т",7к1
"9-й Пятилетки, пр-т",8
"9-й Пятилетки, пр-т",9
"9-й Пятилетки, пр-т",10
"9-й Пятилетки, пр-т",11
"9-й Пятилетки, пр-т",12
"9-й Пятилетки, пр-т",13
"9-й Пятилетки, пр-т",14
"9-й Пятилетки, пр-т",15
"9-й Пятилетки, пр-т",15к1
"9-й Пятилетки, пр-т",15к2
"9-й Пятилетки, пр-т",16/15
"9-й Пятилетки, пр-т",16к1
"9-й Пятилетки, пр-т",16стрБ
"9-й Пятилетки, пр-т",17
"9-й Пятилетки, пр-т",18
"9-й Пятилетки, пр-т",18к2
"9-й Пятилетки, пр-т",19/37
"9-й Пятилетки, пр-т",20
"9-й Пятилетки, пр-т",22
"9-й Пятилетки, пр-т",22к2
"9-й Пятилетки, пр-т",24
"9-й Пятилетки, пр-т",26
"9-й Пятилетки, пр-т",26стрА
"9-й Пятилетки, пр-т",26стрБ
"9-й Пятилетки, пр-т",28/39
"9-й Пятилетки, пр-т",30
"9-й Пятилетки, пр-т",30стрА
"9-й Пятилетки, пр-т",32
"9-й Пятилетки, пр-т",32к1
"9-й Пятилетки, пр-т",32стрА
"Абашевская, ул.",1/12
"Абашевская, ул.",2/10
"Абашевская, ул.",3
"Абашевская, ул.",4
"Абашевская, ул.",5/1
"Абашевская, ул.",6
"Абашевская, ул.",8
"Абашевская, ул.",9
"Абашевская, ул.",10
"Абашевская, ул.",11
"Абашевская, ул.",12
"Абашевская, ул.",13
"Абашевская, ул.",15
"Абашевская, ул.",16
"Абашевская, ул.",17
"Абашевская, ул.",18
"Абашевская, ул.",19
"Абашевская, ул.",20
"Абашевская, ул.",21/2
"Абашевская, ул.",22
"Абашевская, ул.",23
"Абашевская, ул.",24
"Абашевская, ул.",25/12
"Абашевская, ул.",26
"Абашевская, ул.",27
"Абашевская, ул.",28
"Абашевская, ул.",29
"Абашевская, ул.",31
"Абашевская, ул.",33
"Абашевская, ул.",35
"Абашевская, ул.",36
"Абашевская, ул.",37
"Абашевская, ул.",38
"Абашевская, ул.",39
"Абашевская, ул.",40
"Абашевская, ул.",41
"Абашевская, ул.",42
"Абашевская, ул.",43
"Абашевская, ул.",44
"Абашевская, ул.",45
"Абашевская, ул.",46
"Абашевская, ул.",47
"Абашевская, ул.",49
"Абашевская, ул.",51
"Абашевская, ул.",52
"Абашевская, ул.",54
"Абашевская, ул.",56
"Автозаправочный, пр-д",1А
"Автозаправочный, пр-д",5
"Автозаправочный, пр-д",7
"Автозаправочный, пр-д",19
"Автозаправочный, пр-д",20
"Автозаправочный, пр-д",22А
"Автозаправочный, пр-д",24
"Автозаправочный, пр-д",24А
"Автозаправочный, пр-д",26А
"Автозаправочный, пр-д",26В
"Автозаправочный, пр-д",28
"Автономная, ул.",1/13
"Автономная, ул.",2
"Автономная, ул.",3
"Автономная, ул.",4
"Автономная, ул.",5
"Автономная, ул.",7
"Автономная, ул.",8
"Автономная, ул.",9
"Автономная, ул.",10
"Автономная, ул.",11
"Автономная, ул.",13
"Автономная, ул.",15
"Автономная, ул.",17
"Автономная, ул.",19
"Агакова, ул.",1
"Агакова, ул.",3
"Агакова, ул.",5
"Агакова, ул.",7
"Агакова, ул.",8
"Агакова, ул.",9
"Агакова, ул.",10
"Агакова, ул.",11
"Агакова, ул.",12
"Агакова, ул.",13
"Агакова, ул.",14
"Агакова, ул.",15
"Агакова, ул.",16
"Агакова, ул.",17
"Агакова, ул.",18
"Агакова, ул.",20
"Адмирала Нахимова, ул.",21
"Адмирала Нахимова, ул.",23
"Адмирала Нахимова, ул.",25
"Адмирала Нахимова, ул.",27
"Адмирала Нахимова, ул.",29
"Адмирала Нахимова, ул.",31
"Адмирала Нахимова, ул.",33
"Адмирала Нахимова, ул.",36
"Адмирала Нахимова, ул.",38
"Адмирала Нахимова, ул.",40
"Адмирала Нахимова, ул.",42
"Адмирала Нахимова, ул.",44
"Адмирала Нахимова, ул.",46
"Адмирала Нахимова, ул.",48
"Адмирала Нахимова, ул.",50
"Адмирала Нахимова, ул.",52
"Адмирала Нахимова, ул.",54
"Адмирала Нахимова, ул.",56
"Адмирала Нахимова, ул.",58
"Адмирала Нахимова, ул.",60
"Адмирала Нахимова, ул.",62
"Адмирала Ушакова, ул.",1
"Адмирала Ушакова, ул.",2
"Адмирала Ушакова, ул.",4
"Адмирала Ушакова, ул.",6
"Адмирала Ушакова, ул.",7
"Адмирала Ушакова, ул.",8
"Адмирала Ушакова, ул.",9
"Адмирала Ушакова, ул.",10
"Адмирала Ушакова, ул.",11
"Адмирала Ушакова, ул.",12
"Адмирала Ушакова, ул.",13
"Адмирала Ушакова, ул.",14
"Адмирала Ушакова, ул.",15
"Адмирала Ушакова, ул.",16
"Адмирала Ушакова, ул.",17
"Адмирала Ушакова, ул.",18
"Адмирала Ушакова, ул.",19
"Адмирала Ушакова, ул.",20
"Адмирала Ушакова, ул.",21
"Адмирала Ушакова, ул.",22
"Адмирала Ушакова, ул.",23
"Адмирала Ушакова, ул.",24
"Адмирала Ушакова, ул.",26
"Адмирала Ушакова, ул.",28
"Адмирала Ушакова, ул.",29
"Адмирала Ушакова, ул.",33
"Адмирала Ушакова, ул.",34
"Адмирала Ушакова, ул.",35
"Адмирала Ушакова, ул.",36
"Адмирала Ушакова, ул.",37
"Адмирала Ушакова, ул.",38
"Адмирала Ушакова, ул.",39
"Адмирала Ушакова, ул.",40
"Адмирала Ушакова, ул.",42
"Адмирала Ушакова, ул.",44
"Адмирала Ушакова, ул.",46
"Адмирала Ушакова, ул.",48
"Адмирала Ушакова, ул.",50
"Адмирала Ушакова, ул.",52
"Адмирала Ушакова, ул.",54
"Адмирала Ушакова, ул.",56
"Адмирала Ушакова, ул.",58
"Адмирала Ушакова, ул.",60
"Адмирала Ушакова, ул.",68
"Адмирала Ушакова, ул.",72
"Адмирала Ушакова, ул.",74
"Адмирала Ушакова, ул.",76
"Адмирала Ушакова, ул.",78
"Айзмана, ул.",2
"Айзмана, ул.",2А
"Айзмана, ул.",3
"Айзмана, ул.",4
"Айзмана, ул.",5
"Айзмана, ул.",6
"Айзмана, ул.",7
"Айзмана, ул.",7А
"Айзмана, ул.",7Б
"Айзмана, ул.",10
"Айзмана, ул.",11
"Айзмана, ул.",11стрА
"Айзмана, ул.",13
"Айзмана, ул.",13к1
"Айзмана, ул.",13стрА
"Айзмана, ул.",14/24
"Айзмана, ул.",16
"Айзмана, ул.",17
"Айзмана, ул.",17стрА
"Айзмана, ул.",19
"Айзмана, ул.",19стрА
"Айзмана, ул.",20
"Айзмана, ул.",21
"Айзмана, ул.",22
"Айзмана, ул.",23
"Айзмана, ул.",23стрА
"Айзмана, ул.",23стрБ
"Айзмана, ул.",24/2
"Айзмана, ул.",25
"Айзмана, ул.",26
"Айзмана, ул.",27
"Айзмана, ул.",28
"Айзмана, ул.",29
"Айзмана, ул.",30
"Айзмана, ул.",31
"Айзмана, ул.",32
"Айзмана, ул.",33
"Айзмана, ул.",34
"Айзмана, ул.",35
"Айзмана, ул.",36
"Айзмана, ул.",37
"Айзмана, ул.",38/11
"Айзмана, ул.",39
"Айзмана, ул.",40
"Айзмана, ул.",41
"Айзмана, ул.",42/14
"Айзмана, ул.",44/15
"Айзмана, ул.",46
"Айзмана, ул.",47
"Айзмана, ул.",48
"Айзмана, ул.",49
"Айзмана, ул.",50
"Айзмана, ул.",51
"Айзмана, ул.",52
"Айзмана, ул.",53
"Айзмана, ул.",54
"Айзмана, ул.",55
"Айзмана, ул.",56Б
"Айзмана, ул.",57
"Айзмана, ул.",58
"Айзмана, ул.",58стрА
"Айзмана, ул.",59
"Айзмана, ул.",60
"Айзмана, ул.",61
"Айзмана, ул.",63
"Айзмана, ул.",64
"Айзмана, ул.",65
"Айзмана, ул.",67
"Айзмана, ул.",68
"Айзмана, ул.",69
"Айзмана, ул.",70
"Айзмана, ул.",71
"Айзмана, ул.",72
"Айзмана, ул.",73
"Айзмана, ул.",74
"Айзмана, ул.",75
"Айзмана, ул.",75стрА
"Айзмана, ул.",76
"Айзмана, ул.",82
"Айзмана, ул.",84стрА
"Айзмана, ул.",86стрА
"Айзмана, ул.",88
"Айзмана, ул.",94
"Айзмана, ул.",100
"Айзмана, ул.",106
"Айзмана, ул.",106А
"Айзмана, ул.",108
"Айзмана, ул.",110
"Айзмана, ул.",111
"Айзмана, ул.",112
"Айзмана, ул.",114
"Айзмана, ул.",116
"Айзмана, ул.",117
"Айзмана, ул.",118
"Айзмана, ул.",120/7
"Айзмана, ул.",123
"Айзмана, ул.",129/5
"Академика А.Н. Крылова, ул.",1
"Академика А.Н. Крылова, ул.",3
"Академика А.Н. Крылова, ул.",5
"Академика А.Н. Крылова, ул.",5к1
"Академика А.Н. Крылова, ул.",7
"Академика А.Н. Крылова, ул.",9
"Академика А.Н. Крылова, ул.",11
"Академика А.Н. Крылова, ул.",13
"Академика В.Н. Челомея, ул.",1
"Академика В.Н. Челомея, ул.",3
"Академика В.Н. Челомея, ул.",7
"Академика Королёва, ул.",1
"Академика Королёва, ул.",1А
"Академика Королёва, ул.",2
"Академика Королёва, ул.",3
"Академика Королёва, ул.",4
"Академика Королёва, ул.",5
"Академика Королёва, ул.",7
"Академика Королёва, ул.",8
"Академика Королёва, ул.",9
"Академика Королёва, ул.",10
"Академика Королёва, ул.",11
"Академика Королёва, ул.",13
"Академика Королёва, ул.",15
"Академика Павлова, ул.",2/41
"Академика Павлова, ул.",3
"Академика Павлова, ул.",4
"Академика Павлова, ул.",6
"Академика Павлова, ул.",8
"Академика Павлова, ул.",9
"Академика Павлова, ул.",10
"Академика Павлова, ул.",11
"Академика Павлова, ул.",12
"Академика Павлова, ул.",13
"Академика Павлова, ул.",14
"Академика Павлова, ул.",15
"Академика Павлова, ул.",16
"Академика Павлова, ул.",18
"Академика Павлова, ул.",20
"Академика Павлова, ул.",21
"Академика Павлова, ул.",22
"Академика Павлова, ул.",23
"Академика Павлова, ул.",24
"Академика Павлова, ул.",25
"Академика Павлова, ул.",26
"Академика Павлова, ул.",27
"Академика Павлова, ул.",28
"Академика Павлова, ул.",29
"Академика Павлова, ул.",30
"Академика Павлова, ул.",31
"Академика Павлова, ул.",32/31
"Академика Павлова, ул.",34
"Академика Павлова, ул.",36
"Академика Павлова, ул.",38
"Академика Павлова, ул.",40
"Академика Павлова, ул.",42
"Академика Павлова, ул.",44
"Академика Павлова, ул.",46
"Академика Павлова, ул.",48
"Академика Павлова, ул.",50
"Академика Павлова, ул.",52
"Академика Павлова, ул.",54
"Академика Павлова, ул.",56
"Академика Павлова, ул.",60
"Академика Павлова, ул.",62
"Академика Святослава Фёдорова, ул.",1
"Академика Святослава Фёдорова, ул.",3
"Академика Святослава Фёдорова, ул.",4
"Академика Святослава Фёдорова, ул.",5
"Академика Святослава Фёдорова, ул.",6
"Академика Святослава Фёдорова, ул.",7
"Академика Святослава Фёдорова, ул.",8
"Академика Святослава Фёдорова, ул.",9
"Академика Святослава Фёдорова, ул.",10
"Академика Святослава Фёдорова, ул.",11
"Академика Святослава Фёдорова, ул.",12
"Академика Святослава Фёдорова, ул.",13
"Академика Святослава Фёдорова, ул.",14
"Академика Святослава Фёдорова, ул.",15
"Академика Святослава Фёдорова, ул.",16
"Академика Святослава Фёдорова, ул.",17
"Академика Святослава Фёдорова, ул.",18
"Академика Святослава Фёдорова, ул.",19
"Академика Святослава Фёдорова, ул.",20
"Академика Святослава Фёдорова, ул.",22
"Академика Святослава Фёдорова, ул.",24
"Академика Святослава Фёдорова, ул.",25
"Академика Святослава Фёдорова, ул.",26
"Академика Святослава Фёдорова, ул.",27
"Академика Святослава Фёдорова, ул.",28
"Академика Святослава Фёдорова, ул.",29
"Академика Святослава Фёдорова, ул.",30
"Академика Святослава Фёдорова, ул.",31
"Академика Святослава Фёдорова, ул.",33
"Академика Святослава Фёдорова, ул.",35
"Академика Святослава Фёдорова, ул.",37
"Александра Фадеева, ул.",1
"Александра Фадеева, ул.",2
"Александра Фадеева, ул.",3
"Александра Фадеева, ул.",3стрА
"Александра Фадеева, ул.",4
"Александра Фадеева, ул.",4стрА
"Александра Фадеева, ул.",5
"Александра Фадеева, ул.",5стрА
"Александра Фадеева, ул.",6
"Александра Фадеева, ул.",6стрА
"Александра Фадеева, ул.",7
"Александра Фадеева, ул.",7стрА
"Александра Фадеева, ул.",8
"Александра Фадеева, ул.",8стрА
"Александра Фадеева, ул.",9
"Александра Фадеева, ул.",9стрА
"Александра Фадеева, ул.",10
"Александра Фадеева, ул.",10стрА
"Александра Фадеева, ул.",11стрА
"Александра Фадеева, ул.",12стрА
"Александра Фадеева, ул.",13
"Александра Фадеева, ул.",13стрА
"Александра Фадеева, ул.",15
"Александра Фадеева, ул.",16
"Александра Фадеева, ул.",16стрА
"Александра Фадеева, ул.",17
"Александра Фадеева, ул.",17стрА
"Александра Фадеева, ул.",18
"Александра Фадеева, ул.",19
"Александра Фадеева, ул.",19стрА
"Александра Фадеева, ул.",20
"Александра Фадеева, ул.",20стрА
"Александра Фадеева, ул.",21
"Александра Фадеева, ул.",21стрА
"Александра Фадеева, ул.",22
"Александра Фадеева, ул.",22стрА
"Александра Фадеева, ул.",23стрА
"Александра Фадеева, ул.",25
"Александра Фадеева, ул.",25стрА
"Александра Фадеева, ул.",27
"Александра Фадеева, ул.",27стрА
"Александра Фадеева, ул.",28
"Александра Фадеева, ул.",29
"Александра Фадеева, ул.",30
"Александра Фадеева, ул.",31
"Александра Фадеева, ул.",32
"Александра Фадеева, ул.",33/99
"Александра Фадеева, ул.",34
"Александра Фадеева, ул.",36/97
"Александра Фадеева, ул.",37/136
"Александра Фадеева, ул.",37А
"Александра Фадеева, ул.",38/134
"Александра Фадеева, ул.",40
"Александра Фадеева, ул.",41
"Александра Фадеева, ул.",42
"Александра Фадеева, ул.",43
"Александра Фадеева, ул.",44
"Александра Фадеева, ул.",46
"Александра Фадеева, ул.",47/123
"Александра Фадеева, ул.",48/121
"Александра Фадеева, ул.",49
"Александра Фадеева, ул.",50
"Александра Фадеева, ул.",51
"Александра Фадеева, ул.",53
"Александра Фадеева, ул.",54
"Александра Фадеева, ул.",55
"Александра Фадеева, ул.",56
"Александра Фадеева, ул.",57
"Александра Фадеева, ул.",58
"Александра Фадеева, ул.",59
"Александра Фадеева, ул.",60
"Александра Фадеева, ул.",61
"Александра Фадеева, ул.",62
"Александра Фадеева, ул.",63
"Александра Фадеева, ул.",64стрА
"Александра Фадеева, ул.",65
"Александра Фадеева, ул.",66
"Александра Фадеева, ул.",66стрА
"Александра Фадеева, ул.",67
"Александра Фадеева, ул.",68
"Александра Фадеева, ул.",69
"Александра Фадеева, ул.",70
"Александра Фадеева, ул.",71
"Александра Фадеева, ул.",72
"Александра Фадеева, ул.",73
"Александра Фадеева, ул.",74
"Александра Фадеева, ул.",75
"Александра Фадеева, ул.",76
"Александра Фадеева, ул.",77
"Александра Фадеева, ул.",78
"Александра Фадеева, ул.",79
"Александра Фадеева, ул.",80
"Александра Фадеева, ул.",81
"Александра Фадеева, ул.",83
"Александра Фадеева, ул.",85
"Александра Фадеева, ул.",87
"Александра Фадеева, ул.",89
"Александра Фадеева, ул.",91
"Алексея Кокеля, ул.",2/84
"Алексея Кокеля, ул.",4
"Алексея Кокеля, ул.",5
"Алексея Кокеля, ул.",6
"Алексея Кокеля, ул.",7
"Алексея Кокеля, ул.",8
"Алексея Кокеля, ул.",9/127
"Алексея Кокеля, ул.",10
"Алексея Кокеля, ул.",12/125
"Алексея Талвира, ул.",4
"Алексея Талвира, ул.",6
"Алексея Талвира, ул.",8
"Алексея Талвира, ул.",10
"Алексея Талвира, ул.",12
"Алексея Талвира, ул.",13
"Алексея Талвира, ул.",14
"Алексея Талвира, ул.",15
"Алексея Талвира, ул.",16
"Алексея Талвира, ул.",17
"Алексея Талвира, ул.",18
"Алексея Талвира, ул.",19
"Алексея Талвира, ул.",20
"Алексея Талвира, ул.",21
"Алексея Талвира, ул.",22
"Алексея Талвира, ул.",23
"Алексея Талвира, ул.",28
"Алексея Талвира, ул.",30
"Алексея Талвира, ул.",32
"Альгешевская, ул.",1
"Альгешевская, ул.",2
"Альгешевская, ул.",3
"Альгешевская, ул.",4
"Альгешевская, ул.",5
"Альгешевская, ул.",6
"Альгешевская, ул.",7
"Альгешевская, ул.",8
"Альгешевская, ул.",9
"Альгешевская, ул.",10
"Альгешевская, ул.",10стрА
"Альгешевская, ул.",11
"Альгешевская, ул.",12
"Альгешевская, ул.",13
"Альгешевская, ул.",14
"Альгешевская, ул.",15
"Альгешевская, ул.",16
"Альгешевская, ул.",16стрА
"Альгешевская, ул.",17
"Альгешевская, ул.",18
"Альгешевская, ул.",18стрА
"Альгешевская, ул.",19
"Альгешевская, ул.",21
"Альгешевская, ул.",23
"Альгешевская, ул.",23стрА
"Альгешевская, ул.",25
"Альгешевская, ул.",25стрА
"Альгешевская, ул.",27
"Альгешевская, ул.",29
"Альгешевская, ул.",31
"Альгешевская, ул.",33
"Альгешевская, ул.",35
"Анаткас, пер.",1
"Анаткас, пер.",2
"Анаткас, пер.",3
"Анаткас, пер.",4
"Анаткас, пер.",5
"Анаткас, пер.",6
"Анаткас, пер.",7
"Анаткас, пер.",8
"Анаткас, ул.",1/80
"Анаткас, ул.",2/78
"Анаткас, ул.",3
"Анаткас, ул.",4
"Анаткас, ул.",5
"Анаткас, ул.",7
"Анаткас, ул.",9
"Анаткас, ул.",10
"Анаткас, ул.",11
"Анаткас, ул.",12/79
"Анаткас, ул.",13/81
"Анаткас, ул.",16
"Анаткас, ул.",17
"Анаткас, ул.",18
"Анаткас, ул.",19
"Анаткас, ул.",20
"Анаткас, ул.",21
"Анаткас, ул.",22
"Анаткас, ул.",23
"Анаткас, ул.",24
"Анаткас, ул.",26
"Анаткас, ул.",67
"Анатолия Миттова, б-р",1
"Анатолия Миттова, б-р",1Б
"Анатолия Миттова, б-р",1к1
"Анатолия Миттова, б-р",2
"Анатолия Миттова, б-р",2стрА
"Анатолия Миттова, б-р",3
"Анатолия Миттова, б-р",3к1
"Анатолия Миттова, б-р",3к2
"Анатолия Миттова, б-р",4
"Анатолия Миттова, б-р",5
"Анатолия Миттова, б-р",5Б
"Анатолия Миттова, б-р",5к1
"Анатолия Миттова, б-р",5к2
"Анатолия Миттова, б-р",6
"Анатолия Миттова, б-р",7
"Анатолия Миттова, б-р",7к1
"Анатолия Миттова, б-р",9
"Анатолия Миттова, б-р",10
"Анатолия Миттова, б-р",10к1
"Анатолия Миттова, б-р",11
"Анатолия Миттова, б-р",12
"Анатолия Миттова, б-р",13
"Анатолия Миттова, б-р",13стра
"Анатолия Миттова, б-р",14
"Анатолия Миттова, б-р",14к1
"Анатолия Миттова, б-р",15
"Анатолия Миттова, б-р",15стра
"Анатолия Миттова, б-р",16
"Анатолия Миттова, б-р",17
"Анатолия Миттова, б-р",17стра
"Анатолия Миттова, б-р",18
"Анатолия Миттова, б-р",18к1
"Анатолия Миттова, б-р",20
"Анатолия Миттова, б-р",20стрА
"Анатолия Миттова, б-р",21
"Анатолия Миттова, б-р",21Б
"Анатолия Миттова, б-р",21стрА
"Анатолия Миттова, б-р",23
"Анатолия Миттова, б-р",24
"Анатолия Миттова, б-р",24стрА
"Анатолия Миттова, б-р",25
"Анатолия Миттова, б-р",25к1
"Анатолия Миттова, б-р",26
"Анатолия Миттова, б-р",27
"Анатолия Миттова, б-р",29
"Анатолия Миттова, б-р",33
"Анатолия Миттова, б-р",33к1
"Анатолия Миттова, б-р",35
"Анатолия Миттова, б-р",37
"Анатолия Миттова, б-р",37В
"Анатолия Миттова, б-р",39
"Анатолия Миттова, б-р",39стрА
"Анатолия Миттова, б-р",41
"Анатолия Миттова, б-р",45
"Анатолия Миттова, б-р",47
"Анисима Асламаса, ул.",2
"Анисима Асламаса, ул.",4
"Анисима Асламаса, ул.",6
"Анисима Асламаса, ул.",8
"Анисима Асламаса, ул.",10
"Анисима Асламаса, ул.",12
"Анисима Асламаса, ул.",14
"Анисима Асламаса, ул.",16
"Анисима Асламаса, ул.",24
"Анисима Асламаса, ул.",26
"Анисима Асламаса, ул.",28
"Анисима Асламаса, ул.",30
"Анисима Асламаса, ул.",32
"Анисима Асламаса, ул.",поз26А
"Анисимова, ул.",2
"Анисимова, ул.",4
"Анисимова, ул.",6
"Анисимова, ул.",8
"Анисимова, ул.",10
"Антонина Яноушека, ул.",1
"Антонина Яноушека, ул.",3
"Антонина Яноушека, ул.",3А
"Антонина Яноушека, ул.",5
"Ардалиона Игнатьева, ул.",3
"Ардалиона Игнатьева, ул.",4
"Ардалиона Игнатьева, ул.",5
"Ардалиона Игнатьева, ул.",5к1
"Ардалиона Игнатьева, ул.",6/7
"Ардалиона Игнатьева, ул.",7
"Ардалиона Игнатьева, ул.",7к1
"Ардалиона Игнатьева, ул.",8/12
"Ардалиона Игнатьева, ул.",9
"Ардалиона Игнатьева, ул.",15
"Ардалиона Игнатьева, ул.",17
"Ардалиона Игнатьева, ул.",19
"Аркадия Гайдара, ул.",1
"Аркадия Гайдара, ул.",1к1
"Аркадия Гайдара, ул.",2
"Аркадия Гайдара, ул.",3
"Аркадия Гайдара, ул.",4
"Аркадия Гайдара, ул.",5
