object_group,item_name
Улицы Чебоксар,Коллективная
Улицы Чебоксар,Колхозная
Улицы Чебоксар,Кольцевая
Улицы Чебоксар,Комбинатская
Улицы Чебоксар,Кооперативная
Улицы Чебоксар,Красная
Улицы Чебоксар,Красноармейская
Улицы Чебоксар,Красногорская
Улицы Чебоксар,Кугесинская
Улицы Чебоксар,Кузнечная
Улицы Чебоксар,Кукшумская
Улицы Чебоксар,Ленинградская
Улицы Чебоксар,Лесная
Улицы Чебоксар,Лесхозная
Улицы Чебоксар,Лиственная
Улицы Чебоксар,Лунная
Улицы Чебоксар,Лучезарная
Улицы Чебоксар,Лучистая
Улицы Чебоксар,Мало-Ярославская
Улицы Чебоксар,Мирная
Улицы Чебоксар,Можжевеловая
Улицы Чебоксар,Молодогвардейская
Улицы Чебоксар,Нагорно-Рябиновская
Улицы Чебоксар,Народная
Улицы Чебоксар,Нефтебазовская
Улицы Чебоксар,Нижегородская
Улицы Чебоксар,Нижняя
Улицы Чебоксар,Новая
Улицы Чебоксар,Новогородская
Улицы Чебоксар,Новоилларионовская
Улицы Чебоксар,Обиковская
Улицы Чебоксар,Овражная
Улицы Чебоксар,Озерная 2-я
Улицы Чебоксар,Ольховая
Улицы Чебоксар,Ореховая
Улицы Чебоксар,Оригинальная
Улицы Чебоксар,Осоавиахимовская
Улицы Чебоксар,Отрадная
Улицы Чебоксар,Панорамная
Улицы Чебоксар,Первомайская
Улицы Чебоксар,Песчанная
Улицы Чебоксар,Пионерская
Улицы Чебоксар,Поворотно-Нагорная
Улицы Чебоксар,Покровская
Улицы Чебоксар,Полевая
Улицы Чебоксар,Полярная
Улицы Чебоксар,Прибрежная
Улицы Чебоксар,Привокзальная
Улицы Чебоксар,Привосточная
Улицы Чебоксар,Прирельсовая
Улицы Чебоксар,Пристанционная
Улицы Чебоксар,Прогрессивная
Улицы Чебоксар,Пролетарская
Улицы Чебоксар,Промышленная
Улицы Чебоксар,Профсоюзная
Улицы Чебоксар,Путепроводная
Улицы Чебоксар,Равнинная
Улицы Чебоксар,Радужная
Улицы Чебоксар,Раздольная
Улицы Чебоксар,Рассветная
Улицы Чебоксар,Розовая
Улицы Чебоксар,Ромашковая
Улицы Чебоксар,Рябиновская
Улицы Чебоксар,Садовая
Улицы Чебоксар,Санаторная
Улицы Чебоксар,Светлая
Улицы Чебоксар,Северная
Улицы Чебоксар,Сельская
Улицы Чебоксар,Серебряная
Улицы Чебоксар,Сиреневая
Улицы Чебоксар,Солнечная
Улицы Чебоксар,Социалистическая
Улицы Чебоксар,Спортивная
Улицы Чебоксар,Стартовая
Улицы Чебоксар,Тенистая
Улицы Чебоксар,Тополиная
Улицы Чебоксар,Тракторная
Улицы Чебоксар,Трудовая
Улицы Чебоксар,Узорная
Улицы Чебоксар,1-ая Чапаева
Улицы Чебоксар,1-ый Якимовский овраг
Улицы Чебоксар,139 Стрелковой Дивизии
Улицы Чебоксар,15 лет Комсомола
Улицы Чебоксар,2-ая Герцена
Улицы Чебоксар,2-ая Мичурина
Улицы Чебоксар,2-ой Якимовский овраг
Улицы Чебоксар,2-я 40 лет Октября
Улицы Чебоксар,2-я Бажова
Улицы Чебоксар,2-я Ермака
Улицы Чебоксар,2-я Коммунальная Слобода
Улицы Чебоксар,2-я Марата
Улицы Чебоксар,2-я Мопра
Улицы Чебоксар,2-я Набережная реки Сугутки
Улицы Чебоксар,2-я Чапаева
Улицы Чебоксар,3-я 40 лет Октября
Улицы Чебоксар,3-я Ермака
Улицы Чебоксар,324 Стрелковой дивизии
Улицы Чебоксар,4-я 40 лет Октября
Улицы Чебоксар,4-я Ермака
Улицы Чебоксар,40 лет Октября
Улицы Чебоксар,50 лет Октября
Улицы Чебоксар,500-летия Чебоксар
Улицы Чебоксар,8 Марта
Улицы Чебоксар,А.В.Асламаса
Улицы Чебоксар,А.Никитина
Улицы Чебоксар,Адмирала Нахимова
Улицы Чебоксар,Адмирала Ушакова
Улицы Чебоксар,Айзмана
Улицы Чебоксар,Академика А.Н.Крылова
Улицы Чебоксар,Академика В.Н.Челомея
Улицы Чебоксар,Академика Королева
Улицы Чебоксар,Академика Павлова
Улицы Чебоксар,Академика РАН Х.М.Миначева
Улицы Чебоксар,Академика Святослава Федорова
Улицы Чебоксар,Александра Фадеева
Улицы Чебоксар,Алексея Кокеля
Улицы Чебоксар,Алексея Талвира
Улицы Чебоксар,Алексея Ургалкина
Улицы Чебоксар,Анаткасс
Улицы Чебоксар,Анисимова
Улицы Чебоксар,Ардалиона Игнатьева
Улицы Чебоксар,Аркадия Гайдара
Улицы Чебоксар,Афанасьева
Улицы Чебоксар,Ахазова
Улицы Чебоксар,Ахлаткина
Улицы Чебоксар,Ашмарина
Улицы Чебоксар,Б.С.Маркова
Улицы Чебоксар,Бажова
Улицы Чебоксар,Байдукова
Улицы Чебоксар,Байдула
Улицы Чебоксар,Баумана
Улицы Чебоксар,Башмачникова
Улицы Чебоксар,Беззубова
Улицы Чебоксар,Белинского
Улицы Чебоксар,Бичурина
Улицы Чебоксар,Богдана Хмельницкого
Улицы Чебоксар,Болгарстроя
Улицы Чебоксар,Бондарева
Улицы Чебоксар,Бориса Алексеева
Улицы Чебоксар,Бородина
Улицы Чебоксар,Бродского
Улицы Чебоксар,Василия Токсина
Улицы Чебоксар,Васнецова
Улицы Чебоксар,Ватутина
Улицы Чебоксар,Верещагина
Улицы Чебоксар,Виктора Родионова
Улицы Чебоксар,Вильямса
Улицы Чебоксар,Воеводы Буртаса
Улицы Чебоксар,Волкова
Улицы Чебоксар,Восточная (п Восточный)
Улицы Чебоксар,Г.Хирбю
Улицы Чебоксар,Гагарина Ю.
Улицы Чебоксар,Гарина-Михайловского
Улицы Чебоксар,Генерал-полковника Боголюбова
Улицы Чебоксар,Герцена
Улицы Чебоксар,Глинки
Улицы Чебоксар,Гоголя
Улицы Чебоксар,Гончарова
Улицы Чебоксар,Грасиса
Улицы Чебоксар,Грибоедова
Улицы Чебоксар,Гузовского
Улицы Чебоксар,Дегтярева
Улицы Чебоксар,Дежнева
Улицы Чебоксар,Декабристов
Улицы Чебоксар,Дзержинского
Улицы Чебоксар,Димитрова
Улицы Чебоксар,Добролюбова
Улицы Чебоксар,Докучаева
Улицы Чебоксар,Достоевского
Улицы Чебоксар,Дунаевского
Улицы Чебоксар,Ермака
Улицы Чебоксар,Жени Трилинского
Улицы Чебоксар,Жуковского
Улицы Чебоксар,Зои Космодемьянской
Улицы Чебоксар,Зои Яковлевой
Улицы Чебоксар,И.П.Прокопьева
Улицы Чебоксар,И.С. Тукташа
Улицы Чебоксар,Ивана Франко
Улицы Чебоксар,Ильенко
Улицы Чебоксар,Инженера Куприянова
Улицы Чебоксар,К.Либкнехта
Улицы Чебоксар,К.Маркса
Улицы Чебоксар,К.Симонова
Улицы Чебоксар,К.Федина
Улицы Чебоксар,Кадыкова
Улицы Чебоксар,Калинина
Улицы Чебоксар,Кирова
Улицы Чебоксар,Клары Цеткин
Улицы Чебоксар,Кольцова
Улицы Чебоксар,Коммунальная Слобода
Улицы Чебоксар,Композитора А.М.Токарева
Улицы Чебоксар,Композитора Максимова
Улицы Чебоксар,Композиторов Воробьевых
Улицы Чебоксар,Константина Иванова
Улицы Чебоксар,Корнея Чуковского
Улицы Чебоксар,Короленко
Улицы Чебоксар,Космонавта Николаева А.Г.
Улицы Чебоксар,Котовского
Улицы Чебоксар,Кочетова
Улицы Чебоксар,Кочубея
Улицы Чебоксар,Красина
Улицы Чебоксар,Красный Флот
Улицы Чебоксар,Кременского
Улицы Чебоксар,Крупской
Улицы Чебоксар,Крылова
Улицы Чебоксар,Кузнецова
Улицы Чебоксар,Куйбышева
Улицы Чебоксар,Кулибина
Улицы Чебоксар,Кутузова
Улицы Чебоксар,Л.Агакова
Улицы Чебоксар,Лебедева
Улицы Чебоксар,Левая Набережная Сугутки
Улицы Чебоксар,Ленинского Комсомола
Улицы Чебоксар,Лермонтова
Улицы Чебоксар,Лизы Чайкиной
Улицы Чебоксар,Лобачевского
Улицы Чебоксар,Ломоносова
Улицы Чебоксар,Луки Спасова
Улицы Чебоксар,Льва Толстого
Улицы Чебоксар,М.А.Сапожникова
Улицы Чебоксар,Магницкого
Улицы Чебоксар,Макаренко
Улицы Чебоксар,Марата
Улицы Чебоксар,Маршака
Улицы Чебоксар,Мате Залка
Улицы Чебоксар,Матросова
Улицы Чебоксар,Маяковского
Улицы Чебоксар,Менделеева
Улицы Чебоксар,Менжинского
Улицы Чебоксар,Михаила Сеспеля
Улицы Чебоксар,Михаила Сироткина
Улицы Чебоксар,Мичмана Павлова
Улицы Чебоксар,Мичурина
Улицы Чебоксар,Моисея Спиридонова
Улицы Чебоксар,Мопра
Улицы Чебоксар,Музыканта В.А.Галкина
Улицы Чебоксар,Мусоргского
Улицы Чебоксар,Н.Сверчкова
Улицы Чебоксар,Набережная реки Сугутки
Улицы Чебоксар,Надежды
Улицы Чебоксар,Некрасова
Улицы Чебоксар,Низами
Улицы Чебоксар,Никифора Охотникова
Улицы Чебоксар,Николая Гастелло
Улицы Чебоксар,Николая Ильбекова
Улицы Чебоксар,Николая Рождественского
Улицы Чебоксар,Николая Смирнова
Улицы Чебоксар,О.Беспалова
Улицы Чебоксар,Односторонка
Улицы Чебоксар,Олега Кошевого
Улицы Чебоксар,Освода
Улицы Чебоксар,Островского
Улицы Чебоксар,П.Алексеева
Улицы Чебоксар,П.В.Дементьева
Улицы Чебоксар,П.Н.Осипова
Улицы Чебоксар,Павлика Морозова
Улицы Чебоксар,Парижской Коммуны
Улицы Чебоксар,Пархоменко
Улицы Чебоксар,Патриса Лумумбы
Улицы Чебоксар,Перова
Улицы Чебоксар,Петра Ермолаева
Улицы Чебоксар,Петра Крепкова
Улицы Чебоксар,Петрова
Улицы Чебоксар,Пирогова
Улицы Чебоксар,Плеханова
Улицы Чебоксар,Победы
Улицы Чебоксар,Полководца Суворова
Улицы Чебоксар,Попова
Улицы Чебоксар,поселок Лесной
Улицы Чебоксар,Поэта Г.А. Ефимова
Улицы Чебоксар,Поэта Хведи
Улицы Чебоксар,Правая Набережная Сугутки
Улицы Чебоксар,Пржевальского
Улицы Чебоксар,Профессора И.А. Андреева
Улицы Чебоксар,Пугачева
Улицы Чебоксар,Пучкова
Улицы Чебоксар,Пушкина
Улицы Чебоксар,Пятино
Улицы Чебоксар,Радищева
Улицы Чебоксар,Разина
Улицы Чебоксар,Репина
Улицы Чебоксар,Рихарда Зорге
Улицы Чебоксар,Розы Люксембург
Улицы Чебоксар,Рылеева
Улицы Чебоксар,С.Есенина
Улицы Чебоксар,С.Лазо
Улицы Чебоксар,Салтыкова-Щедрина
Улицы Чебоксар,Свердлова
Улицы Чебоксар,Седова
Улицы Чебоксар,Семашко
Улицы Чебоксар,Семена Ислюкова
Улицы Чебоксар,Серафимовича
Улицы Чебоксар,Сергия Радонежского
Улицы Чебоксар,Сеченова
Улицы Чебоксар,Скульптора Мухиной
Улицы Чебоксар,Слесарный овраг
Улицы Чебоксар,Спартака
Улицы Чебоксар,Спиридона Михайлова
Улицы Чебоксар,Спортсмена Валериана Соколова
Улицы Чебоксар,Стихвана Шавлы
Улицы Чебоксар,Строителей
Улицы Чебоксар,Сурикова
Улицы Чебоксар,Т.Кривова
Улицы Чебоксар,Таэра Тимки
Улицы Чебоксар,Текстильщиков
Улицы Чебоксар,Тельмана
Улицы Чебоксар,Тимирязева
Улицы Чебоксар,Токмакова
Улицы Чебоксар,Тургенева
Улицы Чебоксар,Тютчева
Улицы Чебоксар,Урукова
Улицы Чебоксар,Ушинского
Улицы Чебоксар,Ф.Н.Орлова
Улицы Чебоксар,Ф.Павлова
Улицы Чебоксар,Федора Гладкова
Улицы Чебоксар,Филиппа Лукина
Улицы Чебоксар,Фрунзе
Улицы Чебоксар,Фурманова
Улицы Чебоксар,Халтурина
Улицы Чебоксар,Художника Федотова
Улицы Чебоксар,Циолковского
Улицы Чебоксар,Чайковского
Улицы Чебоксар,Чапаева
Улицы Чебоксар,Челюскина
Улицы Чебоксар,Черёмушки
Улицы Чебоксар,Чернышевского
Улицы Чебоксар,Чехова
Улицы Чебоксар,Чкалова
Улицы Чебоксар,Шевченко
Улицы Чебоксар,Шелеби
Улицы Чебоксар,Шмидта
Улицы Чебоксар,Шота Руставели
Улицы Чебоксар,Шубоссинни
Улицы Чебоксар,Шумилова
Улицы Чебоксар,Щорса
Улицы Чебоксар,Э.М.Юрьева
Улицы Чебоксар,Эльгера
Улицы Чебоксар,Эльменя
Улицы Чебоксар,Энгельса
Улицы Чебоксар,Энергетиков
Улицы Чебоксар,Энтузиастов
Улицы Чебоксар,Ю.Фучика
Улицы Чебоксар,Юрия Зайцева
Улицы Чебоксар,Юрия Смирнова
Улицы Чебоксар,Яблочкова
Улицы Чебоксар,Якимовский овраг
Улицы Чебоксар,Янки Купалы
Улицы Чебоксар,Яноушека
Улицы Чебоксар,Ярды
Улицы Чебоксар,Университетская
Улицы Чебоксар,Урожайная
Улицы Чебоксар,Усадская
Улицы Чебоксар,Учительская
Улицы Чебоксар,Фруктовая
Улицы Чебоксар,Харьковская
Улицы Чебоксар,Хевешская
Улицы Чебоксар,Хлебозаводская
Улицы Чебоксар,Хузангая
Улицы Чебоксар,Цветочная
Улицы Чебоксар,Цивильская
Улицы Чебоксар,Чебоксарская
Улицы Чебоксар,Черничная
Улицы Чебоксар,Чистая
Улицы Чебоксар,Чурочная
Улицы Чебоксар,Шахчуринская
Улицы Чебоксар,Школьная
Улицы Чебоксар,Электрозаводская
Улицы Чебоксар,Юбилейная
Улицы Чебоксар,Юннатская
Улицы Чебоксар,Яблоневая
Улицы Чебоксар,Якимовская
Улицы Чебоксар,Якова Ухсая
Улицы Чебоксар,Ярмарочная
Улицы Чебоксар,Ярославская
Улицы Чебоксар,Ясеневая
Проспекты Чебоксар,Московский
Проспекты Чебоксар,9-й Пятилетки
Проспекты Чебоксар,Геннадия Айги
Проспекты Чебоксар,И.Я.Яковлева
Проспекты Чебоксар,Ленина
Проспекты Чебоксар,Максима Горького
Проспекты Чебоксар,Мира
Проспекты Чебоксар,Н.Никольского
Проспекты Чебоксар,Тракторостроителей
Проспекты Чебоксар,Чебоксарский
Переулки Чебоксар,1-ый Технический
Переулки Чебоксар,1-ый Южный
Переулки Чебоксар,2-ой Технический
Переулки Чебоксар,Базарный
Переулки Чебоксар,Безымянный
Переулки Чебоксар,Больничный
Переулки Чебоксар,Восточный
Переулки Чебоксар,Гремячевский
Переулки Чебоксар,Дачный
Переулки Чебоксар,Детский
Переулки Чебоксар,Заводской
Переулки Чебоксар,Комбинатский
Переулки Чебоксар,Кошкинский
Переулки Чебоксар,Кувшинский
Переулки Чебоксар,Лесной
Переулки Чебоксар,Мельничный
Переулки Чебоксар,Молодежный
Переулки Чебоксар,Овражный
Переулки Чебоксар,Анаткасс
Переулки Чебоксар,Бабушкина
Переулки Чебоксар,Байдукова
Переулки Чебоксар,Бакунина
Переулки Чебоксар,Белинского
Переулки Чебоксар,Бродского
Переулки Чебоксар,Декабристов
Переулки Чебоксар,Кременского
Переулки Чебоксар,Металлистов
Переулки Чебоксар,Низами
Переулки Чебоксар,Огнеборцев
Переулки Чебоксар,Полковника Валькевича
Переулки Чебоксар,Пушкина
Переулки Чебоксар,Рылеева
Переулки Чебоксар,Токмакова
Переулки Чебоксар,Шевченко
Переулки Чебоксар,Шелеби
Переулки Чебоксар,Совхозный
Переулки Чебоксар,Студенческий
Переулки Чебоксар,Тракторный
Переулки Чебоксар,Учительский
Переулки Чебоксар,Энергетический
Переулки Чебоксар,Южный
Переулки Чебоксар,Ягодный
Переулки Чебоксар,Якимовский
Проезды Чебоксар,Автозаправочный
Проезды Чебоксар,Авторемонтный
Проезды Чебоксар,Базовый
Проезды Чебоксар,Березовый
Проезды Чебоксар,Вурманкасинский
Проезды Чебоксар,Гаражный
Проезды Чебоксар,Гремячевский
Проезды Чебоксар,Дорожный
Проезды Чебоксар,Инструментальный
Проезды Чебоксар,Ишлейский
Проезды Чебоксар,Кабельный
Проезды Чебоксар,Керамзитовый
Проезды Чебоксар,Лапсарский
Проезды Чебоксар,Монтажный
Проезды Чебоксар,Мясокомбинатский
Проезды Чебоксар,Машиностроителей
Проезды Чебоксар,Соляное
Проезды Чебоксар,Северный
Проезды Чебоксар,Складской
Проезды Чебоксар,Хозяйственный
Проезды Чебоксар,Школьный
Бульвары Чебоксар,А.Миттова
Бульвары Чебоксар,Архитекторов Ведяниных
Бульвары Чебоксар,Купца Ефремова
Бульвары Чебоксар,Мефодия Денисова
Бульвары Чебоксар,Олега Волкова
Бульвары Чебоксар,Юности
Бульвары Чебоксар,Президентский
Бульвары Чебоксар,Приволжский
Бульвары Чебоксар,Солнечный
Бульвары Чебоксар,Эгерский
Бульвары Чебоксар,Юго-Западный
Шоссе Чебоксар,Алатырское
Шоссе Чебоксар,Вурнарское
Шоссе Чебоксар,Ишлейское
Шоссе Чебоксар,Канашское
Шоссе Чебоксар,Марпосадское
Шоссе Чебоксар,Ядринское
